"BTI_REFERENCE","ISSUING_COUNTRY","START_DATE_OF_VALIDITY","END_DATE_OF_VALIDITY","NOMENCLATURE_CODE","CLASSIFICATION_JUSTIFICATION","STATUS","INVALIDATION_REASON","INVALIDATION_JUSTIFICATION","LANGUAGE","PLACE_OF_ISSUE","DATE_OF _ISSUE","NAME_AND_ADDRESS","DESCRIPTION_OF_GOODS","KEYWORDS"
"FIBTIFI001210-2023-BTI28","FI","29/03/2023","28/03/2026","21069098**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 2106 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimike 0409 ja nimikkeen 1702 kohta C.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","28/03/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tuote on tummaa, siirappimaista, juoksevaa, kuitupitoista, pakastekuivatulla mansikkajauheella maustettua hunajavalmistetta, jonka hiilihydraattipitoisuus on noin puolet luonnonhunajan hiilihydraattipitoisuudesta. Tuote on valmis käytettäväksi sellaisenaan ja se on valmistettu muun muassa hunajasta, polydekstroosista, vedestä ja mansikkajauheesta. Tuote on pakattu 340 g:n vähittäismyyntipakkaukseen. Saatavilla on myös mustikanmakuista ja maustamatonta hunajavalmistetta.","HONEY,WATER,STRAWBERRIES,LEMON JUICE,AS SYRUPS,PUT-UP IN PACKINGS,PUT UP FOR RETAIL SALE"
"FIBTIFI001210-2023-BTI31","FI","18/04/2023","17/04/2026","90261029**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 9026 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).","VALID","","","fi","","18/04/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on nestesäiliöön asennettava nestepinnan korkeutta mittaava pinta-anturi. Anturi painaa 24,5kg.","LEVEL GAUGES,TANK SCALES,LIQUID METERS,TANKS, CONTAINERS,GAUGES"
"FIBTIFI001210-2023-BTI63","FI","29/08/2023","28/08/2026","8412808090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8412 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimike 8412.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","29/08/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on kokonainen roottoripurje (rotor sail, Flettner rotor), eli mekaaninen purje joka saa voimansa tuulesta. Roottoripurje on pystysuora roottori, jota sähkömoottori pyörittää akselinsa ympäri. Sen ulkokuori on komposiittia ja sisällä on teräsrunko. Kun tuuli puhaltaa pyörivän roottorin ohi, muodostuu sen toiselle puolelle korkeapaine ja toiselle puolelle matalapaine. Paine-ero synnyttää alusta eteenpäin siirtävän voiman, joka on kohtisuorassa tuulen suuntaan nähden. Tämä Magnus-efektiin perustuva voima on vastaavilla pinta-aloilla noin kymmenkertainen tavallisiin pehmeisiin purjeisiin verrattuna. Purjeen toimintaa ohjataan automatiikalla. Roottoripurjeet toimivat laivan diesel-sähköisen propulsiojärjestelmän tukena vähentäen sen polttoainekulutusta. Roottoripurjeiden halkaisija voi olla useita metrejä ja korkeus kymmeniä metrejä. Tullaushetkellä tavara voi olla logistisista syistä osiinsa purettuna, mutta tämä päätös ei koske roottoripurjeen erikseen tullattuja osia.","SAILS,ROTORS,FOR SAILING VESSELS,SHIPS,FOR SHIPS,BY WIND"
"FIBTIFI001210-2024-BTI29","FI","16/02/2024","15/02/2027","7326199000************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen7326 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).","VALID","","","fi","","15/02/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Hammaspyörän taeaihio, suljetussa muotissa taottu. Ei työstetty takomisen jälkeen.","FORGED,CLOSED-DIE FORGED,OF STEEL,GEARWHEELS,MECHANICAL"
"FIBTIFI001210-2024-BTI19","FI","06/02/2024","05/02/2027","8483908190************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8483 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XVI jakson  2 huomautus b-kohta.
Harmonoidun järjestelmän selitykset, XVI jakson yleisohjeet
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","05/02/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Vaihteiston valukotelo. Valmistettu hakijan toimittamien piirustusten mukaan. Kotelon koko vaihtelee sen vaihteiston koon mukaan, johon se asennetaan, mutta koko ei vaikuta tavaran luokitteluun. Hakijan ilmoittamat mitat: pituus 622 - 1138 mm, korkeus 110 - 162 mm, leveys 300 -580 mm. Tunnistettavissa 84 ryhmän laitteen osaksi.","CAST,OF CAST IRON,OF CAST STEEL,DRAWINGS,PREPARED"
"FIBTIFI001210-2024-BTI17","FI","06/02/2024","05/02/2027","8483908190************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8483 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XVI jakson  2 huomautus b-kohta.
Harmonoidun järjestelmän selitykset, XVI jakson yleisohjeet
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","05/02/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Vaihteiston valukotelo. Valmistettu hakijan toimittamien piirustusten mukaan. Kotelon koko vaihtelee sen vaihteiston koon mukaan, johon se asennetaan, mutta koko ei vaikuta tavaran luokitteluun. Hakijan ilmoittamat mitat: pituus 714 – 844 mm, korkeus 124 – 135 mm, leveys 360 – 380 mm. Tunnistettavissa 84 ryhmän laitteen osaksi.","CAST,OF CAST IRON,OF CAST STEEL,DRAWINGS,PREPARED"
"FIBTIFI001210-2024-BTI18","FI","06/02/2024","05/02/2027","8483908190************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8483 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XVI jakson  2 huomautus b-kohta.
Harmonoidun järjestelmän selitykset, XVI jakson yleisohjeet
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","05/02/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Vaihteiston valukotelo. Valmistettu hakijan toimittamien piirustusten mukaan. Kotelon koko vaihtelee sen vaihteiston koon mukaan, johon se asennetaan, mutta koko ei vaikuta tavaran luokitteluun. Hakijan ilmoittamat mitat: pituus 424 - 736 mm, korkeus 106 - 136 mm, leveys 244 - 410 mm. Tunnistettavissa 84 ryhmän laitteen osaksi.","CAST,OF CAST IRON,OF CAST STEEL,DRAWINGS,PREPARED"
"FIBTIFI001210-2023-BTI26","FI","29/03/2023","28/03/2026","21069098**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 2106 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimike 0409 ja nimikkeen 1702 kohta C.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","28/03/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tuote on tummansinistä, siirappimaista ja juoksevaa hunajavalmistetta, joka on tarkoitettu nautittavaksi urheilusuorituksen aikana energiatason ylläpitämiseksi. Tuote on valmis käytettäväksi sellaisenaan ja sen hiilihydraattipitoisuus on noin puolet luonnonhunajan hiilihydraattipitoisuudesta. Tuotteen ainesosina ovat muun muassa hunaja, polydekstroosi ja mustikkajauhe. Tuote on pakattu 25 g:n vähittäismyyntipakkaukseen. Saatavilla on myös sitruunanmakuinen energiageeli-hunajavalmiste.","HONEY,FOR ENERGY,BILBERRIES,WATER,LEMON JUICE,SEASONED,AS SYRUPS,PUT-UP IN PACKINGS,PUT UP FOR RETAIL SALE"
"FIBTIFI001210-2023-BTI27","FI","29/03/2023","28/03/2026","21069098**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 2106 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimike 0409 ja nimikkeen 1702 kohta C.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","28/03/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tuote on vaaleaa, siirappimaista, juoksevaa, kuitupitoista, maustamatonta hunajavalmistetta, jonka hiilihydraattipitoisuus on noin puolet luonnonhunajan hiilihydraattipitoisuudesta. Tuote on valmis käytettäväksi sellaisenaan ja se on valmistettu hunajasta, polydekstroosista ja vedestä. Tuote on pakattu 340 g:n vähittäismyyntipakkaukseen. Saatavilla on myös mustikanmakuista ja mansikanmakuista hunajavalmistetta.","HONEY,WATER,AS SYRUPS,PUT-UP IN PACKINGS,PUT UP FOR RETAIL SALE"
"FIBTIFI001210-2023-BTI30","FI","11/04/2023","10/04/2026","7312108119************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7312 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
72-ryhmän huomautus 1 d.
Maailman tullijärjestön (WCO) luokittelusuositukset 7312 10/ 1 ja 2.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/luokittelupaatoskokoelma).
Tullikoodeksikomitean lauselma 402. kokouksessa 5.7.2006 (asia 5. Steel cable with loops).","VALID","","","fi","","06/04/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on monisäielangasta valmistettu sinkkipinnoitettu teräsköysi vinssikäyttöön. Teräsköyden toisessa päässä on prässätty alumiininen lukko ja kousi. Teräsköysi koostuu 7 säikeestä, joissa kussakin on 19 erillistä lankaa. Köysien halkaisijat ovat 4 mm, 4,8 mm, 6 mm, 7,2 mm, 8,3 mm, 9,5 mm tai 12 mm ja pituus on 15,2 – 26 m.","OF STEEL,ROPE,STRANDED ROPES AND CABLES,LOOPS,PLATED OR COATED WITH ZINC"
